clusters_yield,MZE yld Rain-fed Low_mean,CON evt Irrigation Low_mean,CON cwd Irrigation High_mean,SGC evt Irrigation Low_mean,TOM evt Rain-fed Low_mean,CON yld Rain-fed High_mean,TOM cwd Rain-fed High_mean,SGC yld Irrigation High_mean,MZE yld Irrigation Low_mean,MZE yld Rain-fed High_mean,CON yld Irrigation Low_mean,RCP yld Rain-fed High_mean,precipitation prc_mean,MZE cwd Rain-fed High_mean,RCP cwd Irrigation Low_mean,CON cwd Rain-fed High_mean,MZE evt Irrigation High_mean,TOM evt Rain-fed High_mean,TOM evt Irrigation Low_mean,SGC evt Rain-fed Low_mean,SGC evt Irrigation High_mean,RCP evt Rain-fed Low_mean,MZE cwd Irrigation Low_mean,SGC cwd Rain-fed High_mean,TOM yld Irrigation High_mean,TOM evt Irrigation High_mean,SGC cwd Irrigation Low_mean,SGC cwd Irrigation High_mean,RCP yld Irrigation High_mean,RCP evt Rain-fed High_mean,RCP cwd Rain-fed High_mean,MZE yld Irrigation High_mean,MZE cwd Irrigation High_mean,RCP cwd Rain-fed Low_mean,TOM yld Rain-fed Low_mean,MZE evt Rain-fed High_mean,SGC yld Rain-fed High_mean,RCP yld Rain-fed Low_mean,CON cwd Rain-fed Low_mean,TOM yld Rain-fed High_mean,CON evt Rain-fed Low_mean,CON evt Irrigation High_mean,TOM cwd Rain-fed Low_mean,TOM cwd Irrigation High_mean,MZE evt Irrigation Low_mean,CON yld Rain-fed Low_mean,TOM cwd Irrigation Low_mean,CON cwd Irrigation Low_mean,SGC evt Rain-fed High_mean,RCP evt Irrigation Low_mean,SGC yld Irrigation Low_mean,RCP cwd Irrigation High_mean,MZE cwd Rain-fed Low_mean,RCP evt Irrigation High_mean,RCP yld Irrigation Low_mean,SGC yld Rain-fed Low_mean,CON evt Rain-fed High_mean,TOM yld Irrigation Low_mean,CON yld Irrigation High_mean,SGC cwd Rain-fed Low_mean,MZE evt Rain-fed Low_mean,clusters_yield,OTH yld Irrigation Low_mean,OTH yld Irrigation High_mean,OTH yld Rain-fed Low_mean,OTH yld Rain-fed High_mean,OTH cwd Irrigation Low_mean,OTH cwd Irrigation High_mean,OTH cwd Rain-fed Low_mean,OTH cwd Rain-fed High_mean,OTH evt Irrigation Low_mean,OTH evt Irrigation High_mean,OTH evt Rain-fed Low_mean,OTH evt Rain-fed High_mean
1,0.1067,0.0054,0.0006,0.3951,0.3085,0.0109,0.0069,0.8102,0.1919,0.5293,0.0009,0.6242,2.3554,0.0011,0.0081,0.0,0.4578,0.4463,0.2978,0.377,0.9022,0.211,0.0065,0.0646,0.3988,0.4035,0.0013,0.1248,0.6979,0.4649,0.0072,0.5374,0.0871,0.0008,0.0817,0.5317,0.7606,0.0792,0.0,0.3708,0.0054,0.0206,0.0013,0.0684,0.5065,0.0009,0.0181,0.0,0.9451,0.3633,0.1485,0.0955,0.0014,0.41,0.1431,0.1481,0.0214,0.0853,0.011,0.0069,0.3585,1.0,0.156,0.5294,0.136,0.487,0.0098,0.0653,0.0149,0.0097,0.5052,0.5891,0.4868,0.611
2,0.1606,0.0857,0.0087,0.946,0.1701,0.1161,0.0024,1.1364,0.1653,0.4653,0.0142,0.7645,2.5149,0.0011,0.001,0.0005,0.4181,0.421,0.1697,0.9075,1.0507,0.4674,0.0017,0.0158,0.3375,0.4082,0.0034,0.0508,0.8055,0.496,0.0019,0.4672,0.0327,0.0015,0.0326,0.4539,1.1071,0.189,0.0001,0.3211,0.0832,0.2356,0.0004,0.0314,0.4237,0.0142,0.0009,0.0002,1.0414,0.4565,0.3512,0.0385,0.0011,0.4892,0.1862,0.3497,0.2352,0.0326,0.1172,0.0116,0.4164,2.0,0.2495,0.692,0.2485,0.6686,0.0036,0.0331,0.0064,0.0038,0.7686,0.8062,0.7349,0.8014
3,0.1887,0.7656,0.0398,1.0627,0.3901,0.4487,0.0014,0.8319,0.1943,0.4948,0.1293,0.7955,2.1649,0.001,0.0026,0.0018,0.4514,0.4106,0.3962,1.0386,1.1588,0.5154,0.0036,0.0337,0.2907,0.3925,0.0089,0.0807,0.8565,0.5203,0.0018,0.4975,0.0578,0.0027,0.0732,0.4997,0.8078,0.2035,0.002,0.2783,0.7604,0.8476,0.0012,0.0505,0.4636,0.129,0.0082,0.0034,1.1384,0.5374,0.2719,0.0742,0.001,0.5198,0.2131,0.2702,0.8307,0.074,0.4533,0.0054,0.455,3.0,0.2805,0.6521,0.2786,0.6235,0.0062,0.0503,0.0034,0.0059,0.8536,0.9224,0.838,0.9055
4,0.1527,0.4151,0.0165,0.9741,0.2507,0.3267,0.0014,0.9966,0.1704,0.4578,0.0697,0.7626,2.514,0.001,0.0018,0.0015,0.4582,0.4506,0.251,0.9451,1.1425,0.4815,0.0016,0.0154,0.2908,0.4294,0.0019,0.0536,0.8006,0.5432,0.0022,0.4591,0.029,0.0012,0.0441,0.4899,0.9781,0.1852,0.0005,0.28,0.4104,0.6539,0.0009,0.0342,0.4498,0.0696,0.0031,0.0006,1.1415,0.5151,0.315,0.0355,0.001,0.5381,0.2006,0.3133,0.646,0.0445,0.3289,0.0029,0.4188,4.0,0.2486,0.6652,0.2441,0.6473,0.0022,0.0305,0.0024,0.0038,0.8106,0.891,0.7917,0.884
5,0.2233,0.7513,0.1569,1.0115,0.3633,0.4679,0.0014,0.8658,0.231,0.5463,0.136,0.7922,1.9988,0.002,0.0265,0.0041,0.3137,0.3783,0.3627,1.0323,1.0502,0.453,0.0325,0.136,0.3897,0.3173,0.0691,0.2317,0.9031,0.4781,0.0016,0.5629,0.2136,0.0057,0.1469,0.4614,0.7675,0.2484,0.0168,0.3562,0.7635,0.7669,0.0018,0.1568,0.4435,0.1357,0.0594,0.0445,1.0403,0.5304,0.2875,0.2259,0.001,0.3914,0.2801,0.2859,0.8173,0.1536,0.486,0.0327,0.4508,5.0,0.332,0.6749,0.3208,0.57,0.0549,0.1735,0.0244,0.0306,0.8154,0.8316,0.8312,0.8683
6,0.2225,0.3646,0.0479,1.0023,0.3697,0.2861,0.0013,0.9997,0.2291,0.5924,0.0615,0.8222,1.725,0.0011,0.0042,0.0032,0.3951,0.3729,0.3712,0.9728,1.0841,0.4578,0.005,0.0599,0.4682,0.3492,0.0223,0.1004,0.8984,0.4783,0.0015,0.5975,0.0861,0.0034,0.1607,0.4689,0.9574,0.2394,0.0049,0.4491,0.3635,0.5612,0.0011,0.0703,0.438,0.0565,0.0173,0.005,1.0513,0.509,0.3265,0.1024,0.0011,0.4605,0.2629,0.3254,0.565,0.1706,0.301,0.0334,0.4336,6.0,0.3336,0.6961,0.3177,0.6327,0.0181,0.0686,0.0149,0.0107,0.8054,0.8538,0.7932,0.8513
7,0.2319,0.6506,0.3027,0.9744,0.3434,0.306,0.0029,0.876,0.2445,0.8258,0.1281,0.7747,2.4081,0.0044,0.0815,0.0511,0.1762,0.3438,0.2978,0.8292,0.9066,0.3971,0.1286,0.3264,0.4825,0.2078,0.1536,0.375,0.9145,0.4802,0.001,0.9249,0.3528,0.001,0.1502,0.4268,0.5578,0.2382,0.1744,0.407,0.5932,0.5869,0.0036,0.2497,0.378,0.1053,0.1618,0.1099,0.868,0.4935,0.2935,0.3762,0.0014,0.2604,0.2892,0.2941,0.74,0.1894,0.4418,0.3034,0.434,7.0,0.3406,0.6854,0.3014,0.4322,0.1361,0.3235,0.228,0.0977,0.7698,0.6783,0.6652,0.7322
8,0.1543,0.7846,0.0024,1.0585,0.0348,0.3821,0.0011,0.8097,0.1588,0.3978,0.138,0.6522,3.1855,0.001,0.001,0.0011,0.5097,0.4492,0.0351,1.0339,1.239,0.5177,0.001,0.0016,0.1478,0.436,0.001,0.0132,0.6607,0.6013,0.0017,0.3979,0.0039,0.001,0.0038,0.5265,0.8033,0.1844,0.001,0.1471,0.7828,0.9053,0.0001,0.0054,0.4543,0.1378,0.0001,0.001,1.2353,0.5266,0.2669,0.0082,0.001,0.5936,0.1892,0.2654,0.8954,0.0038,0.3829,0.001,0.4459,8.0,0.2188,0.627,0.2178,0.6221,0.001,0.0053,0.001,0.0012,0.8481,0.9783,0.8396,0.974
