cluster,clusters_yield,LCType1,LCType2,LCType5,LCType6,LCType9,LCType10,LCType11,sqkm
0,1,0.0,2694.0,0.0,2625.0,0.0,3792.6,0.0,9111.5
1,2,0.0,4621.3,1152.7,9288.9,0.0,8575.5,43.3,23681.7
2,3,1080.4,2169.0,20284.2,13739.6,374.4,64690.3,877.0,103214.9
3,4,0.0,3037.2,2362.4,9473.2,0.0,12294.9,219.5,27387.2
4,5,112.4,1897.4,4817.5,4569.3,395.4,15338.4,49.4,27179.9
5,6,125.4,1983.3,2876.1,5543.7,0.0,8178.4,0.0,18706.9
6,7,295.2,481.7,6782.3,1549.0,0.0,8931.2,345.6,18385.0
7,8,0.0,1459.9,3480.5,20689.0,0.0,42453.0,63.6,68146.0
