province,clusters_yield,allocated_sqkm,province_land_sqkm,province_cluster_share,regime,production_t,harvested_area_ha,allocated_production_t,allocated_harvested_area_ha
Bulacan,7,148.72490163399237,2209.9900430062758,0.06729663878108705,irrigated,306751.77,68236.78,20643.363061149095,4592.105935244505
Bulacan,7,148.72490163399237,2209.9900430062758,0.06729663878108705,rainfed,54502.05,13150.0,3667.8047716787455,884.9507999712947
Cagayan,1,230.95968847155683,7358.811562525285,0.03138546034358564,irrigated,789781.0,179823.0,24787.640255617414,5643.8276353646015
Cagayan,1,230.95968847155683,7358.811562525285,0.03138546034358564,rainfed,131982.0,41290.0,4142.31582706712,1295.9056575866512
Cagayan,2,6.06996655001714,7358.811562525285,0.0008248569077279296,irrigated,789781.0,179823.0,651.456313442272,148.3282437183595
Cagayan,2,6.06996655001714,7358.811562525285,0.0008248569077279296,rainfed,131982.0,41290.0,108.8662643957476,34.05834172008621
Cagayan,3,1456.280239955391,7358.811562525285,0.19789611781493244,irrigated,789781.0,179823.0,156294.59382399515,35586.273593834594
Cagayan,3,1456.280239955391,7358.811562525285,0.19789611781493244,rainfed,131982.0,41290.0,26118.725421450414,8171.130704578561
Cagayan,4,85.56575764561626,7358.811562525285,0.011627659835911481,irrigated,789781.0,179823.0,9183.304812866005,2090.92067467311
Cagayan,4,85.56575764561626,7358.811562525285,0.011627659835911481,rainfed,131982.0,41290.0,1534.641800463269,480.10607462478504
Cagayan,5,4174.758452524552,7358.811562525285,0.5673142214681092,irrigated,789781.0,179823.0,448053.99314530473,102016.1452470598
Cagayan,5,4174.758452524552,7358.811562525285,0.5673142214681092,rainfed,131982.0,41290.0,74875.26557780399,23424.404204418228
Cagayan,6,1405.1774573781522,7358.811562525285,0.1909516836297334,irrigated,789781.0,179823.0,150810.01164877447,34337.504605349546
Cagayan,6,1405.1774573781522,7358.811562525285,0.1909516836297334,rainfed,131982.0,41290.0,25202.18510881947,7884.395017071692
Camarines Norte,8,1672.8681819402639,1672.8681819402639,1.0,irrigated,70972.22,14773.0,70972.22,14773.0
Camarines Norte,8,1672.8681819402639,1672.8681819402639,1.0,rainfed,37539.85,9820.0,37539.85,9820.0
