population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,16,Philippines,3,Both,20,75-79 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.1752185704493142,0.21107040647530528,0.14373899336147655
1,All Population,1,Deaths,16,Philippines,3,Both,20,75-79 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,57.54213975581479,77.39599207922382,40.86636976508874
1,All Population,1,Deaths,16,Philippines,3,Both,21,80+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,993.3919120098393,1408.5460858651154,681.2651386718675
1,All Population,1,Deaths,16,Philippines,3,Both,21,80+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.17193280492551943,0.2093921614762001,0.1398069355487312
1,All Population,1,Deaths,16,Philippines,3,Both,21,80+ years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,100.69668206015227,142.7794163216688,69.0574769515811
1,All Population,1,Deaths,16,Philippines,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,3653.5976760005997,4906.479912801007,2621.3786746557425
1,All Population,1,Deaths,16,Philippines,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.174319073919454,0.21053570822447953,0.1429414640176605
1,All Population,1,Deaths,16,Philippines,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,3.1905951552442295,4.2847057687594825,2.289184207214766
1,All Population,1,Deaths,16,Philippines,3,Both,24,15-49 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,172.76725340516978,251.12278333612312,114.26165507807022
1,All Population,1,Deaths,16,Philippines,3,Both,24,15-49 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.16619916800010553,0.20097813666397923,0.13697640202989927
1,All Population,1,Deaths,16,Philippines,3,Both,24,15-49 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,0.2819393042100889,0.40980788552009745,0.18646387492804997
1,All Population,1,Deaths,16,Philippines,3,Both,25,50-69 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2023,1223.7289254583773,1648.2327213019776,877.6607735876852
1,All Population,1,Deaths,16,Philippines,3,Both,25,50-69 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,2,Percent,2023,0.17662611589352933,0.2129022712245554,0.14566731975639552
1,All Population,1,Deaths,16,Philippines,3,Both,25,50-69 years,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,3,Rate,2023,7.5430784623982525,10.159724496514642,5.409910594424562
